settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
21574497411	2024-10-09 14:28:38 UTC	2024-10-23 14:28:39 UTC	2024-10-25 14:28:39 UTC	1977.17	USD																		
21574497411						Order	111-7398098-3081053	111-7398098-3081053		Q4ZRMlQ0B	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-18	2024-10-18 02:58:02 UTC	112118348242681			TM-ATRNS-LR	1	
21574497411						Order	111-7398098-3081053	111-7398098-3081053		Q4ZRMlQ0B	Amazon.com	ItemPrice	Tax	4.14	AFN	2024-10-18	2024-10-18 02:58:02 UTC	112118348242681			TM-ATRNS-LR	1	
21574497411						Order	111-7398098-3081053	111-7398098-3081053		Q4ZRMlQ0B	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-4.14	AFN	2024-10-18	2024-10-18 02:58:02 UTC	112118348242681			TM-ATRNS-LR	1	
21574497411						Order	111-7398098-3081053	111-7398098-3081053		Q4ZRMlQ0B	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.84	AFN	2024-10-18	2024-10-18 02:58:02 UTC	112118348242681			TM-ATRNS-LR	1	
21574497411						Order	111-7398098-3081053	111-7398098-3081053		Q4ZRMlQ0B	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-18	2024-10-18 02:58:02 UTC	112118348242681			TM-ATRNS-LR	1	
21574497411						Order	111-7398098-3081053	111-7398098-3081053		Q4ZRMlQ0B	Amazon.com	ItemFees	DigitalServicesFee	-0.37	AFN	2024-10-18	2024-10-18 02:58:02 UTC	112118348242681			TM-ATRNS-LR	1	
21574497411						Order	114-9863627-8929857	114-9863627-8929857		QsBXDY8vH	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-13	2024-10-13 15:50:07 UTC	111725809431521			TM-ATRNS-SR	1	
21574497411						Order	114-9863627-8929857	114-9863627-8929857		QsBXDY8vH	Amazon.com	ItemPrice	Tax	5.35	AFN	2024-10-13	2024-10-13 15:50:07 UTC	111725809431521			TM-ATRNS-SR	1	
21574497411						Order	114-9863627-8929857	114-9863627-8929857		QsBXDY8vH	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-5.35	AFN	2024-10-13	2024-10-13 15:50:07 UTC	111725809431521			TM-ATRNS-SR	1	
21574497411						Order	114-9863627-8929857	114-9863627-8929857		QsBXDY8vH	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-4.99	AFN	2024-10-13	2024-10-13 15:50:07 UTC	111725809431521			TM-ATRNS-SR	1	
21574497411						Order	114-9863627-8929857	114-9863627-8929857		QsBXDY8vH	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-13	2024-10-13 15:50:07 UTC	111725809431521			TM-ATRNS-SR	1	
21574497411						Order	114-9863627-8929857	114-9863627-8929857		QsBXDY8vH	Amazon.com	ItemFees	DigitalServicesFee	-0.35	AFN	2024-10-13	2024-10-13 15:50:07 UTC	111725809431521			TM-ATRNS-SR	1	
21574497411						Order	114-6552244-4409823	114-6552244-4409823		QBrKJ1Np9	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-17	2024-10-17 04:52:20 UTC	112057566209921			TM-ATRNS-LL	1	
21574497411						Order	114-6552244-4409823	114-6552244-4409823		QBrKJ1Np9	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.84	AFN	2024-10-17	2024-10-17 04:52:20 UTC	112057566209921			TM-ATRNS-LL	1	
21574497411						Order	114-6552244-4409823	114-6552244-4409823		QBrKJ1Np9	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-17	2024-10-17 04:52:20 UTC	112057566209921			TM-ATRNS-LL	1	
21574497411						Order	114-6552244-4409823	114-6552244-4409823		QBrKJ1Np9	Amazon.com	ItemFees	DigitalServicesFee	-0.37	AFN	2024-10-17	2024-10-17 04:52:20 UTC	112057566209921			TM-ATRNS-LL	1	
21574497411						Order	113-0229101-8670670	113-0229101-8670670		QsjcLNGGN	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-09	2024-10-09 21:16:06 UTC	111344727573881			TM-ATRNS-LL	1	
21574497411						Order	113-0229101-8670670	113-0229101-8670670		QsjcLNGGN	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.52	AFN	2024-10-09	2024-10-09 21:16:06 UTC	111344727573881			TM-ATRNS-LL	1	
21574497411						Order	113-0229101-8670670	113-0229101-8670670		QsjcLNGGN	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-09	2024-10-09 21:16:06 UTC	111344727573881			TM-ATRNS-LL	1	
21574497411						Order	113-0229101-8670670	113-0229101-8670670		QsjcLNGGN	Amazon.com	ItemFees	DigitalServicesFee	-0.36	AFN	2024-10-09	2024-10-09 21:16:06 UTC	111344727573881			TM-ATRNS-LL	1	
21574497411						Order	112-2270656-4654601	112-2270656-4654601		Qv6jBrgLN	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-09	2024-10-09 22:01:33 UTC	111417700361521			TM-ATRNS-LR	1	
21574497411						Order	112-2270656-4654601	112-2270656-4654601		Qv6jBrgLN	Amazon.com	ItemPrice	Shipping	9.66	AFN	2024-10-09	2024-10-09 22:01:33 UTC	111417700361521			TM-ATRNS-LR	1	
21574497411						Order	112-2270656-4654601	112-2270656-4654601		Qv6jBrgLN	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.52	AFN	2024-10-09	2024-10-09 22:01:33 UTC	111417700361521			TM-ATRNS-LR	1	
21574497411						Order	112-2270656-4654601	112-2270656-4654601		Qv6jBrgLN	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-09	2024-10-09 22:01:33 UTC	111417700361521			TM-ATRNS-LR	1	
21574497411						Order	112-2270656-4654601	112-2270656-4654601		Qv6jBrgLN	Amazon.com	ItemFees	ShippingChargeback	-9.66	AFN	2024-10-09	2024-10-09 22:01:33 UTC	111417700361521			TM-ATRNS-LR	1	
21574497411						Order	112-2270656-4654601	112-2270656-4654601		Qv6jBrgLN	Amazon.com	ItemFees	DigitalServicesFee	-0.55	AFN	2024-10-09	2024-10-09 22:01:33 UTC	111417700361521			TM-ATRNS-LR	1	
21574497411						Order	111-1995393-0360218	111-1995393-0360218		QtR9kfYQ4	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-14	2024-10-14 08:35:10 UTC	111812146865681			TM-ATRNS-LR	1	
21574497411						Order	111-1995393-0360218	111-1995393-0360218		QtR9kfYQ4	Amazon.com	ItemPrice	Tax	5.93	AFN	2024-10-14	2024-10-14 08:35:10 UTC	111812146865681			TM-ATRNS-LR	1	
21574497411						Order	111-1995393-0360218	111-1995393-0360218		QtR9kfYQ4	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-5.93	AFN	2024-10-14	2024-10-14 08:35:10 UTC	111812146865681			TM-ATRNS-LR	1	
21574497411						Order	111-1995393-0360218	111-1995393-0360218		QtR9kfYQ4	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.52	AFN	2024-10-14	2024-10-14 08:35:10 UTC	111812146865681			TM-ATRNS-LR	1	
21574497411						Order	111-1995393-0360218	111-1995393-0360218		QtR9kfYQ4	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-14	2024-10-14 08:35:10 UTC	111812146865681			TM-ATRNS-LR	1	
21574497411						Order	111-1995393-0360218	111-1995393-0360218		QtR9kfYQ4	Amazon.com	ItemFees	DigitalServicesFee	-0.36	AFN	2024-10-14	2024-10-14 08:35:10 UTC	111812146865681			TM-ATRNS-LR	1	
21574497411						Order	111-8668280-4429057	111-8668280-4429057		QhD6f2DT4	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-15	2024-10-15 06:32:20 UTC	111865914923601			TM-ATRNS-LR	1	
21574497411						Order	111-8668280-4429057	111-8668280-4429057		QhD6f2DT4	Amazon.com	ItemPrice	Tax	5.52	AFN	2024-10-15	2024-10-15 06:32:20 UTC	111865914923601			TM-ATRNS-LR	1	
21574497411						Order	111-8668280-4429057	111-8668280-4429057		QhD6f2DT4	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-5.52	AFN	2024-10-15	2024-10-15 06:32:20 UTC	111865914923601			TM-ATRNS-LR	1	
21574497411						Order	111-8668280-4429057	111-8668280-4429057		QhD6f2DT4	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.52	AFN	2024-10-15	2024-10-15 06:32:20 UTC	111865914923601			TM-ATRNS-LR	1	
21574497411						Order	111-8668280-4429057	111-8668280-4429057		QhD6f2DT4	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-15	2024-10-15 06:32:20 UTC	111865914923601			TM-ATRNS-LR	1	
21574497411						Order	111-8668280-4429057	111-8668280-4429057		QhD6f2DT4	Amazon.com	ItemFees	DigitalServicesFee	-0.36	AFN	2024-10-15	2024-10-15 06:32:20 UTC	111865914923601			TM-ATRNS-LR	1	
21574497411						Order	S01-0739155-2355660	#1088		Qh590DCjB	Non-Amazon US	ItemPrice	Principal	0.00	AFN	2024-10-19	2024-10-19 09:15:21 UTC	20711514636964	TM-ATRNS-LL		TM-ATRNS-LL	1	
21574497411						Order	S01-0739155-2355660	#1088		Qh590DCjB	Non-Amazon US	ItemFees	FBAPerUnitFulfillmentFee	-10.11	AFN	2024-10-19	2024-10-19 09:15:21 UTC	20711514636964	TM-ATRNS-LL		TM-ATRNS-LL	1	
21574497411						Order	114-0394435-0569838	114-0394435-0569838		QWnSfDQkk	Amazon.com	ItemPrice	Principal	68.99	AFN	2024-10-11	2024-10-11 03:23:09 UTC	111522190768201			TM-ATRNS-LR	1	
21574497411						Order	114-0394435-0569838	114-0394435-0569838		QWnSfDQkk	Amazon.com	ItemPrice	Tax	4.14	AFN	2024-10-11	2024-10-11 03:23:09 UTC	111522190768201			TM-ATRNS-LR	1	
21574497411						Order	114-0394435-0569838	114-0394435-0569838		QWnSfDQkk	Amazon.com	ItemWithheldTax	MarketplaceFacilitatorTax-Principal	-4.14	AFN	2024-10-11	2024-10-11 03:23:09 UTC	111522190768201			TM-ATRNS-LR	1	
21574497411						Order	114-0394435-0569838	114-0394435-0569838		QWnSfDQkk	Amazon.com	ItemFees	FBAPerUnitFulfillmentFee	-5.52	AFN	2024-10-11	2024-10-11 03:23:09 UTC	111522190768201			TM-ATRNS-LR	1	
21574497411						Order	114-0394435-0569838	114-0394435-0569838		QWnSfDQkk	Amazon.com	ItemFees	Commission	-12.42	AFN	2024-10-11	2024-10-11 03:23:09 UTC	111522190768201			TM-ATRNS-LR	1	
