date,stars,name,country,title,body,is_pinned,short
"2025-02-10",5,"Anas Shuk","US","It was fantastic being able to remove the boot and sleep comfortably","Overall, it was fantastic being able to remove the boot and sleep comfortably. My one small complaint was that the bottom of the splint dug into my shin because there was no enough padding to cover the hard plastic part. I had to stuff tissues in-between the splint and my shin to stop it from hurting. The orthopaedic surgen I was seeing at Kings Hospital in Romford was absolutely useless. I tried to show him the splint and explain how it allowed me to remove the boot and he just got upset and didn't want to listen. Overall, they have a very back-in-the-days approach to achilles tendon tears, putting patients in thigh-high plaster and then knee-high plaster for about a month before they will go to the boot. I objected and said I just wanted the boot after 2 weeks because of the immobility of the plaster and this upset them.",,
"2025-02-09",5,"Rick Las","US","I believe the splint helped me greatly","I've had much success with the Achilles Splint. Here in the states, surgery is much more common as I was told I had a complete tear. I refused and was put in a cam boot. Finding the splint online, I tried it. Visiting back with the surgeon he said it is healing and I should start rehab straight away. I am now trying to rebuild the muscle. It's slow, but a positive process. I believe the splint helped me greatly. Thank you.",,
"2025-02-09",5,"Faustine","US","An essential and wonderful device","The Splint should be a Dr recommended accessory at the time a boot is prescribed. On my first day, after 15 minutes in bed with 'the boot'', I began looking online for suggestions and options. I quickly found the Thetis Medical, Splint with excellent reviews. I contacted my orthopedist n the morning and received approval to using the splint for sleeping, The splint arrived a day or two later and proved its worth that night, and for the following months as a viable sleeping splint. Thank you.",,
"2025-02-09",5,"DSM","US","It made a massive difference to getting a good nights rest","It was extremely difficult getting any sleep whilst wearing a heavy boot. I found the splint on line and bought it without reference to any of the professionals. It made a massive difference to getting a good nights rest. I would recommend it to anyone with a ruptured Achilles tendon.",,
"2024-03-15",5,"M. D. Taylor","US","Worth it!","If you've ruptured your Achilles tendon... Commiserations! It's not fun. And it's not a quick recovery. You will have been given a Controlled Ankle Movement (CAM) boot and, after wearing it all day, there's no respite at night. Like me, you might find that sleeping in the boot is even harder than walking in it. It's hot. Things you don't notice during the day suddenly become impossible to ignore: a bit of pressure here, a bit of rubbing there. And you can't sleep. This is exactly what the splint is designed to solve. And it works.

As others have noted, the splint is not cheap, but it's a niche product, made by a small company, and there's little scope for economies of scale. You're paying for the expertise that went into its design too. In my view, it's worth every penny. It took me a bit of fiddling around making minor adjustments to the position and tightness of the straps to get it comfortable. It's a case of balancing security and comfort. I prioritised security and, the first night, I had tightened the strap that goes under the foot a little too much and, as a result, the splint was pressing on the top of my foot too much for a whole night's comfort. I was also concerned that the strap at the heel might cause problems, but it hasn't. In the end, I've found that I'm actually having the heel strap a little tighter than the calf and foot straps and that's got the balance between security and comfort about right. I've still found that a cotton wool make-up pad, half under the splint, at the edge nearest my small, outer toes helps: everyone's feet are different and I found that was a bit of a pressure point. However, it's worth the effort: I've been able to sleep well and the splint has remained secure. The recovery of my Achilles tendon remains on track too.

In summary, then, this has been a very worthwhile purchase. It's a good example of a small company that's identified a problem and provided a solution. (Note: the Thetis website is also an excellent source of information about Achilles tendon injuries and recovery.) I would also suggest searching for the Evenup Shoe Balancer on Amazon: another helpful product but one that makes walking with a CAM boot a bit easier.",,
"2023-09-01",5,"Dennis","US","Worth it!","Ruptured Achilles is hard. And recovery is very long. I've never had ""total bed rest"" before. This night brace as been a savior: I can sleep and rest comfortably. It is light, cool and easy to put on.

Far preferable to (not) sleeping in The Boot. Sleep is critical to recovery.

It's not cheap, but worth the price for a well designed niche medical product. Other reviewers have some negative comments about design and comfort. I don't agree. Strapping a sensitive injured foot into a brace is not a usual thing and some minor strap adjustments relieved discomfort.

I did consult with my Orthopedic Surgeon, as Thetis recommended. Since my surgeon also has an MA in engineering, after the caveats about not ""touching down"", gave approval.

2 weeks post surgery I've combined the Thetis night brace with the IWalk Hands Free crutch around the house. I can cook, clean, carry stuff in both hands and be a little less of an imposition on my spouse. Still use The Boot when I have to ""gimp out"" to run unavoidable errands. Prior to this injury I was very active, with decent balance and leg strength. All necessary for the above combination.

Finally: be patient. Recovery from an Achilles Rupture takes time.",,
"2024-11-19",5,"Aloha","US","Perfect for piece of mind at night!","I ruptured my achilles and spent 3 weeks ""In the boot"" before I finally gave in with lack of sleep and started to research products like this.

I was swayed by the positive reviews on this product and took the plunge, it has genuinely been the single best decision I have made in my recovery so far, its light, easy to fit and comfortable (as long as you don't overtighten the straps). My physio has said this is fine to use when resting/sleeping but obviously not for weight bearing (which is stated *in bold*, in the instructions).

If you're struggling to sleep in your heavy achilles boot and your significant other is fed up of being knocked and poked by the cumbersome boot then I'd definitely recommend purchasing one of these.",,
"2024-08-08",5,"Rob","US","It works perfect to keep my foot in forward flexion.","This product works perfect to keep my foot in forward flexion as I sleep Just lay in bed during the day. In order for Achilles tendon ruptures to heal correctly having your foot in this position, early on after injury is imperative. I'm not a doctor, but that's What doctor say. I tried the splint Against my skin, but after wearing a while, it starts to bother my foot a bit. So I wear a sock underneath it and it works perfect",,
"2024-11-02",5,"Chad","US","Total game changer for sleeping while recovering!","Finally got the restful sleep I needed. The cast and heavy dirty boot made sleep tough. If you're recovering from an achilles rupture buy this immediately.",true,
"2024-08-20",5,"Thomas","US","Best rehabilitation product for my Achilles recovery","Although this splint is intended for night use only. I used it day and night for immobilization in my first 4 weeks after Achilles repair. I used this to replace the slab my surgeon put me on after surgery. Its convenient, comfortable, well ventilated whilst providing adequate support to put my ankle in place. I certainly recommend this product over cast or slab after achilles repair if the surgeon prefers non weight bearing early post op.",false,"It's convenient, comfortable, well ventilated whilst providing adequate support to put my ankle in place."
