Date,Not indexed,Indexed,Impressions
2025-12-20,,,2341
2025-12-21,,,2702
2025-12-22,,,2737
2025-12-23,625,84,2846
2025-12-24,629,90,1961
2025-12-25,629,90,1807
2025-12-26,629,90,2194
2025-12-27,629,90,2414
2025-12-28,629,90,2371
2025-12-29,629,90,2631
2025-12-30,629,90,2619
2025-12-31,629,90,2186
2026-01-01,629,90,2088
2026-01-02,629,90,2356
2026-01-03,629,90,2334
2026-01-04,654,89,2525
2026-01-05,654,89,2991
2026-01-06,654,89,2814
2026-01-07,660,87,2870
2026-01-08,660,87,2712
2026-01-09,660,87,3130
2026-01-10,660,87,2832
2026-01-11,660,87,11736
2026-01-12,660,87,5851
2026-01-13,660,87,3868
2026-01-14,662,87,3935
2026-01-15,662,87,3540
2026-01-16,662,87,3546
2026-01-17,662,87,3503
2026-01-18,660,88,5767
2026-01-19,660,88,4229
2026-01-20,660,88,4478
2026-01-21,660,89,4428
2026-01-22,660,89,3909
2026-01-23,660,89,3286
2026-01-24,660,89,3493
2026-01-25,660,90,3388
2026-01-26,660,90,5120
2026-01-27,660,90,4817
2026-01-28,753,164,4228
2026-01-29,753,164,4332
2026-01-30,753,164,4012
2026-01-31,753,164,4793
2026-02-01,785,168,5011
2026-02-02,785,168,5103
2026-02-03,785,168,5111
2026-02-04,737,170,4575
2026-02-05,737,170,5298
2026-02-06,737,170,4097
2026-02-07,737,170,4183
2026-02-08,742,171,4158
2026-02-09,742,171,4631
2026-02-10,742,171,4948
2026-02-11,760,153,4980
2026-02-12,760,153,4547
2026-02-13,760,153,4005
2026-02-14,760,153,4423
2026-02-15,760,155,5099
2026-02-16,760,155,5450
2026-02-17,760,155,5587
2026-02-18,763,155,5668
2026-02-19,763,155,5768
2026-02-20,763,155,5437
2026-02-21,763,155,5688
2026-02-22,764,154,4974
2026-02-23,764,154,5329
2026-02-24,764,154,5584
2026-02-25,840,163,6206
2026-02-26,840,163,6105
2026-02-27,840,163,5931
2026-02-28,840,163,4837
2026-03-01,840,163,5021
2026-03-02,840,163,5530
2026-03-03,840,163,5679
2026-03-04,911,169,5579
2026-03-05,911,169,8137
2026-03-06,911,169,8684
2026-03-07,911,169,6126
2026-03-08,917,166,5765
2026-03-09,917,166,5922
2026-03-10,917,166,6048
2026-03-11,920,162,5489
2026-03-12,920,162,5261
2026-03-13,920,162,4570
2026-03-14,920,162,4090
2026-03-15,920,162,4267
2026-03-16,919,163,5160
2026-03-17,919,163,5249
